@relation 2016_New_Coder_Survey-weka.filters.unsupervised.attribute.NumericToNominal-R5-weka.filters.unsupervised.attribute.RandomProjection-N2-R42-DSparse1_clustered

@attribute Instance_number numeric
@attribute K1 numeric
@attribute K2 numeric
@attribute Gender {0,1}
@attribute Cluster {cluster0,cluster1}

@data
606,0,0,1,cluster0
607,1.732051,1.732051,1,cluster1
608,1.732051,0,0,cluster0
609,1.732051,1.732051,1,cluster1
610,1.732051,0,1,cluster0
611,1.732051,0,1,cluster0
612,1.732051,0,1,cluster0
613,0,0,0,cluster0
614,1.732051,0,1,cluster0
615,1.732051,1.732051,1,cluster1
616,1.732051,0,1,cluster0
617,1.732051,1.732051,1,cluster1
618,1.732051,0,1,cluster0
619,1.732051,0,1,cluster0
620,1.732051,0,1,cluster0
621,0,0,0,cluster0
622,1.732051,0,1,cluster0
623,0,0,1,cluster0
624,0,0,1,cluster0
625,1.732051,0,1,cluster0
626,1.732051,1.732051,0,cluster1
627,0,0,1,cluster0
628,1.732051,0,1,cluster0
629,0,0,1,cluster0
630,0,0,1,cluster0
631,1.732051,0,1,cluster0
632,0,0,1,cluster0
633,1.732051,1.732051,1,cluster1
634,0,0,0,cluster0
635,1.732051,0,1,cluster0
636,0,0,0,cluster0
637,0,0,1,cluster0
638,0,0,1,cluster0
639,1.732051,0,1,cluster0
640,1.732051,0,1,cluster0
641,0,0,1,cluster0
642,0,0,1,cluster0
643,0,0,1,cluster0
644,0,0,1,cluster0
645,0,0,1,cluster0
646,0,0,1,cluster0
647,0,0,1,cluster0
648,0,0,0,cluster0
649,0,0,1,cluster0
650,1.732051,1.732051,1,cluster1
651,0,0,1,cluster0
652,1.732051,0,0,cluster0
653,3.464102,1.732051,0,cluster1
654,1.732051,0,1,cluster0
655,3.464102,1.732051,0,cluster1
656,0,0,1,cluster0
657,1.732051,1.732051,1,cluster1
658,0,0,1,cluster0
659,0,0,1,cluster0
660,1.732051,1.732051,1,cluster1
661,0,0,1,cluster0
